country,sector,gross_amt,net_amt,from,to,transaction_id,transaction_date,amount,transaction_type,account_number,merchant_name,category,location,city,state,currency,card_type,card_number,card_expiry_date,transaction_description,transaction_code,transaction_status,transaction_time,transaction_fee,recipient_name,recipient_account_number,recipient_bank_name,exchange_rate,notes
Serbia,Hospitality,7892.42,5289.92,Account L,Supplier Solutions,11,3/12/2022,8128.26,withdrawal,4140045836,Topiczoom,food,4 Arrowood Crossing,Beška,,RSD,mastercard,4917771361021421,3/14/2022,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,A1,completed,5:45 PM,13.54,Mureil A'field,7612124836,Bubblemix,0.9649,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum."
China,Manufacturing,4425.46,7527.35,Account D,Supplier Connect,12,7/7/2022,7899.33,transfer,4522198690,Twiyo,transportation,401 Lawn Park,Pumaqangtang,,CNY,mastercard,3530203261241817,8/3/2023,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,C3,failed,3:42 PM,24.44,Gretchen Seavers,9088993312,Demizz,1.4624,Aliquam erat volutpat. In congue. Etiam justo.
Kazakhstan,Technology,8032.85,1003.15,Account M,Supplier Innovations,13,4/9/2022,6178.09,transfer,5159627380,Flashset,food,0 Golden Leaf Trail,Temirtau,,KZT,amex,5641821150788316,12/2/2025,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,A1,failed,10:25 AM,35.63,Kathe Hellmer,7880542439,Rhyzio,0.9739,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
Philippines,Retail,282.39,9773.96,Account X,Retailer Hub,14,2/26/2022,5256.84,withdrawal,9505625965,Brightbean,entertainment,72 Hermina Plaza,San Pedro,,PHP,mastercard,4911899414498167,1/17/2029,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at,B2,pending,10:22 AM,27.11,Sutherland Maker,8328330657,Realpoint,1.7826,
Argentina,Entertainment,5211.96,5333.06,Account N,Supplier Green,15,10/28/2022,1828.0,deposit,9766486445,Kare,utilities,4 Prairie Rose Street,Esperanza,,ARS,amex,3541143948144884,7/1/2029,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam,C3,failed,8:43 AM,15.06,Brana Rootes,7882706518,Tambee,1.4309,"Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio."
Russia,Healthcare,8144.44,546.69,Account L,Client Services Group,16,11/8/2022,8787.54,transfer,3989815645,Camido,utilities,20 Prairieview Pass,Krasnogorskiy,,RUB,mastercard,5602254986753196,1/28/2024,nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer,B2,completed,8:51 PM,9.56,Terra Cottu,8662718018,Yozio,1.7518,
Indonesia,Telecommunications,6425.91,7432.65,Account X,Customer Delight,17,6/11/2022,4144.3,withdrawal,2274968793,Vitz,transportation,9826 Luster Alley,Pacet,,IDR,mastercard,3544599974366039,6/11/2028,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit,A1,failed,4:18 PM,45.25,Vannie Sperski,2474134798,Wikibox,1.5401,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst."
Indonesia,Automotive,4608.36,3733.44,Account B,Health Clinic X,18,3/11/2022,1646.02,withdrawal,6370626359,Babbleset,transportation,0539 Main Junction,Cihaurbeuti,,IDR,amex,3562059295704340,7/30/2023,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in,A1,pending,10:58 PM,6.97,Tab Welford,1602698848,Avamm,1.924,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
Colombia,Real Estate,3873.33,2526.14,Account Q,Wellness Center A,19,4/30/2022,1830.95,withdrawal,6981883196,Realbuzz,transportation,6 Sunbrook Pass,Sabanalarga,,COP,visa,676770488740962404,7/5/2028,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed,B2,failed,9:35 PM,34.4,Milena Atwell,8919641428,Ntag,0.6712,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
Uganda,Construction,5875.39,6999.88,Account S,Health Clinic X,20,12/11/2022,8603.72,deposit,8591759961,Blogtags,entertainment,789 Troy Parkway,Gulu,,UGX,visa,63041660247541048,1/29/2025,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,A1,pending,9:34 AM,28.92,Antonius Cocking,7264065171,Tagcat,0.5655,
Afghanistan,Construction,8498.63,5985.77,Account Q,Customer Care Center,21,7/18/2022,2791.23,transfer,2625047611,Yabox,food,67648 Bunker Hill Lane,Shahrak,,AFN,amex,3582993411409663,1/21/2022,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,A1,pending,6:05 AM,38.71,Josh Gadsdon,4437090650,Midel,1.2646,
Haiti,Retail,3259.8,4521.26,Account O,Health Clinic X,22,5/11/2022,1708.8,deposit,3484500129,Dynava,entertainment,68 Laurel Pass,Petite Rivière de Nippes,,HTG,amex,3550602392438108,6/10/2023,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus,B2,completed,5:40 AM,31.69,Willamina Stefanovic,2876939086,Feedfire,1.214,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.
Indonesia,Agriculture,4664.85,7098.36,Account U,Health Clinic X,23,11/16/2022,260.27,withdrawal,5096762444,Yambee,transportation,54152 Bowman Hill,Purwa,,IDR,mastercard,372301731296390,12/31/2022,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,A1,pending,3:47 AM,37.91,Chandra Lundy,4217382737,Topicstorm,0.6797,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum."
Russia,Insurance,7360.0,1440.28,Account T,Supplier Green,24,1/28/2022,7069.9,deposit,7669921987,Dabvine,utilities,9 Bayside Lane,Orekhovo-Zuyevo,,RUB,amex,201809801459745,3/9/2024,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,B2,failed,8:53 PM,34.39,Karlie Agastina,5096954039,Kwimbee,0.8886,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
Peru,Energy,8732.77,5434.02,Account O,Supplier Y,25,2/7/2022,3631.62,deposit,9471239449,Quinu,entertainment,566 Dottie Center,Paltashaco,,PEN,mastercard,30469052595833,5/19/2030,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate,B2,pending,3:37 PM,28.42,Zed Fardy,9571242344,Oloo,0.8984,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
China,Agriculture,2889.92,5774.19,Account N,Clinic W,26,4/7/2022,3502.45,transfer,2634847174,Geba,transportation,84 Mendota Road,Shunling,,CNY,mastercard,3574438685758395,12/28/2023,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,C3,pending,2:41 AM,3.9,Norman Chancellor,7521027959,Photobug,0.5901,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo."
France,Finance,1771.36,1795.99,Account O,E-commerce Store B,27,8/26/2022,8562.29,withdrawal,2896008483,Viva,utilities,65485 Shelley Court,Alençon,99,EUR,amex,4041598481729,10/22/2022,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,A1,completed,7:44 AM,17.58,Horton Martusov,5281798869,Quinu,1.3806,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus."
Thailand,Retail,8803.9,6994.76,Account M,E-commerce Store B,28,2/11/2022,2151.81,transfer,3685316654,Skimia,entertainment,6946 West Parkway,Chumphon Buri,,THB,mastercard,3535932465526004,12/30/2028,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,C3,pending,10:27 AM,42.73,Gabriela Grimble,2435916924,Jatri,1.5576,
Ukraine,Entertainment,135.71,5559.56,Account Z,Merchant A,29,2/26/2022,1205.72,transfer,8787085835,Thoughtsphere,utilities,751 Sachtjen Alley,Khorosheve,,UAH,visa,4405621276540552,11/10/2022,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,C3,completed,12:17 AM,40.81,Maiga Giffon,1399861456,Youbridge,0.7266,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
Slovenia,Agriculture,1323.2,7712.06,Account Y,Supplier Green,30,1/16/2022,8416.54,transfer,5749732795,Zooveo,entertainment,35 Scoville Crossing,Solkan,,EUR,visa,4041596560391,4/26/2029,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in,A1,failed,9:08 AM,27.69,Brier Ibel,2393256240,Tanoodle,1.974,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
Greece,Technology,8830.31,1995.88,Account T,Retailer Hub,31,11/23/2022,6732.8,deposit,6664240427,Wikibox,entertainment,894 Fisk Circle,Sosándra,,EUR,amex,372301939034510,7/1/2025,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,B2,completed,5:51 PM,27.61,Dinny Sherwill,8133438048,Tagopia,1.5073,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem."
China,Telecommunications,9892.05,3267.8,Account D,Supplier Innovations,32,10/16/2022,7414.21,withdrawal,5429247260,Quaxo,transportation,13467 Stoughton Street,Hohhot,,CNY,mastercard,372301746539222,7/1/2026,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,C3,pending,3:33 AM,29.58,Dugald Nunson,9799102963,Zoomcast,1.3444,"Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
Norway,Manufacturing,4318.43,2233.62,Account X,Customer Z,33,10/3/2022,3792.3,transfer,1915360998,Yakidoo,entertainment,8934 Boyd Pass,Oslo,03,NOK,visa,201497004673179,5/24/2029,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,A1,failed,7:58 PM,22.04,Milli Labern,5056858151,Youtags,1.7126,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo."
Brazil,Automotive,9010.61,3882.59,Account K,Customer Z,34,5/20/2022,2721.69,withdrawal,1476078826,Topicblab,food,1096 2nd Junction,Franco da Rocha,,BRL,mastercard,5010128924064880,5/3/2025,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,A1,pending,11:48 PM,17.38,Bree Sailor,8224264689,Blogtag,0.8132,
Panama,Agriculture,6134.73,5865.51,Account W,Client Services Group,35,8/31/2022,9107.41,withdrawal,3204353881,Linktype,utilities,1 La Follette Court,Alcaldedíaz,,PAB,amex,201510127164981,7/30/2025,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,C3,pending,10:35 PM,49.1,Rosette Craigg,7149761464,Topicware,0.6315,"Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim."
China,Automotive,9337.22,8477.57,Account T,Supplier Innovations,36,3/24/2022,1042.14,withdrawal,2826783079,Miboo,entertainment,1972 Carioca Way,Hetou,,CNY,visa,4026206608367053,12/18/2025,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,B2,pending,2:28 PM,34.96,Randi Aulton,1453585132,Voonix,1.4305,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
Iran,Insurance,3619.83,7086.35,Account Y,Customer Delight,37,12/13/2022,7069.94,withdrawal,7982640444,Zoovu,entertainment,46784 Del Mar Street,Zahedan,,IRR,visa,3556531149216422,2/5/2023,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius,A1,pending,5:52 PM,9.53,Joya Vuitte,8045154119,Gabcube,0.8574,
Poland,Consulting,2771.23,3687.3,Account W,Clinic W,38,11/18/2022,3819.23,transfer,2771181126,Trudoo,utilities,69141 Sachtjen Road,Jeżów,,PLN,amex,5108757913329210,2/25/2025,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc,C3,failed,4:46 PM,11.69,Shelton Swire,5737300069,Eamia,1.1062,Etiam vel augue. Vestibulum rutrum rutrum neque.
Peru,E-commerce,120.83,472.3,Account A,Health Clinic X,39,9/7/2022,3233.94,transfer,2992435957,Lazz,utilities,90 Glendale Crossing,Pampa Hermosa,,PEN,mastercard,3547388572165234,1/23/2029,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet,C3,completed,11:38 AM,27.54,Kipp Vallery,7204224280,Feedfish,1.3231,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
Colombia,Education,7706.72,7210.26,Account O,Client Services Group,40,1/19/2022,4096.87,withdrawal,1409029509,Kanoodle,utilities,0641 Holy Cross Drive,El Zulia,,COP,visa,50208670046796913,5/4/2028,integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,B2,pending,4:59 AM,44.35,Babb Alwen,6914618430,Blognation,1.5848,
Indonesia,Education,4557.71,3305.73,Account N,Customer Z,41,3/24/2022,303.78,deposit,4805286124,Rooxo,entertainment,50 Brown Lane,Kokas,,IDR,visa,201727017848354,9/9/2022,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,A1,completed,4:11 AM,34.82,Jephthah Nottle,2521522974,Skyble,1.1642,Mauris ullamcorper purus sit amet nulla.
Myanmar,Manufacturing,6008.52,1020.31,Account X,Customer Care Center,42,5/11/2022,6613.8,withdrawal,4750738583,Talane,entertainment,69319 Springview Junction,Kayan,,MMK,amex,6331108304080003767,1/12/2028,pellentesque volutpat dui maecenas tristique est et tempus semper est,C3,pending,2:22 AM,11.08,Abbe Schiementz,3149343451,Topdrive,1.3042,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.
Mexico,Energy,4154.55,2337.07,Account C,Supplier Connect,43,6/3/2022,6628.87,deposit,7342844941,Youopia,food,58 Talisman Point,Venustiano Carranza,COA,MXN,visa,6759735075907923923,9/9/2029,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel,B2,completed,6:31 PM,1.62,Tobie Meekings,7546107703,Mynte,0.9761,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
Greece,Hospitality,610.85,3633.15,Account Y,Supplier Connect,44,8/13/2022,3420.37,withdrawal,8407422999,Kazio,food,7425 Linden Hill,Episkopí,,EUR,mastercard,4911129402310087646,8/14/2029,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,A1,completed,3:42 AM,40.55,Tanny Drillingcourt,1437249770,Feedfire,0.8055,
Philippines,Consulting,2695.8,2743.71,Account T,Supplier Connect,45,11/24/2022,9180.99,deposit,2671906997,Blogtags,entertainment,19246 Loftsgordon Road,Magdug,,PHP,visa,5610447128173303,2/22/2029,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac,C3,pending,6:05 AM,22.51,Gustavo Cardenoso,1263545088,Fadeo,1.0514,Integer ac neque.
China,E-commerce,6780.34,5514.93,Account J,Retailer Hub,46,1/2/2022,6723.88,transfer,7803574731,Jayo,entertainment,7 Prairieview Point,Beitai,,CNY,mastercard,3540725262328662,2/27/2023,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,C3,pending,12:48 PM,49.55,Thomasine Nolleth,4765689217,Tagcat,0.8703,
South Africa,Services,9520.34,9667.98,Account V,Medical Practice Y,47,5/13/2022,2320.41,deposit,5145014099,Katz,entertainment,2661 Schurz Crossing,Botshabelo,,ZAR,mastercard,67620187624024471,4/13/2028,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,A1,failed,2:47 PM,1.19,Marys Ainsworth,1894184202,Dazzlesphere,0.6652,
Argentina,Construction,8779.23,4739.95,Account V,E-commerce Store B,48,12/2/2022,7856.84,deposit,6178379154,Midel,entertainment,664 Charing Cross Alley,Villa Santa Rita,,ARS,visa,67715567739575481,3/20/2023,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo,C3,pending,1:58 PM,22.05,Sadella Fitzsymonds,6918166409,Linktype,0.7809,Aliquam non mauris. Morbi non lectus.
China,Real Estate,300.99,1808.79,Account V,Supplier Y,49,2/26/2022,3775.21,withdrawal,5880072778,Gigaclub,entertainment,85631 Esker Road,Zili,,CNY,amex,6374839614253116,1/9/2023,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit,C3,failed,5:45 PM,36.13,Tiffani Perllman,3961107169,Feedmix,1.5914,
Sweden,E-commerce,3270.11,4263.03,Account E,Supplier Green,50,9/5/2022,8734.34,deposit,7122197558,Blogpad,transportation,85 Dorton Court,Vårgårda,O,SEK,visa,5602256534044067582,1/3/2027,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit,B2,failed,8:50 PM,8.94,Matelda Bedle,3435789223,Oyope,0.7574,
Indonesia,Technology,6666.14,6668.93,Account B,Health Clinic X,51,12/14/2022,4322.36,transfer,3601928406,Thoughtbridge,food,51513 Talmadge Pass,Gelang,,IDR,visa,5010127190691178,5/22/2027,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer,A1,completed,2:52 AM,41.85,Jodee MacQuarrie,7921925260,Tazz,1.9207,
Croatia,Transportation,7187.2,2201.76,Account V,E-commerce Store B,52,2/24/2022,3613.51,withdrawal,2847764861,Gigaclub,entertainment,403 Golf Park,Omiš,,HRK,mastercard,3540127243093947,12/8/2029,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,A1,pending,4:28 AM,21.5,Joeann Gori,1093571275,Voomm,1.194,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
Armenia,Education,1485.88,3590.59,Account S,Supplier Solutions,53,7/23/2022,4635.45,deposit,9864244632,Skimia,food,93 Kenwood Point,Amberd,,AMD,amex,5120940782665278,4/13/2022,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,B2,pending,5:50 AM,17.7,Nicol Roussel,9930826445,Kazio,0.8474,Nam nulla.
China,Consulting,220.79,1251.96,Account Z,Supplier Connect,54,9/29/2022,1955.71,deposit,1158556618,Zoomlounge,entertainment,2 Merrick Street,Tianzhou,,CNY,amex,5100170170712383,6/13/2026,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,C3,completed,7:34 AM,22.22,Cherrita Lukovic,2840764695,Voonder,1.2729,
